N° BIEN;ADRESSE;VILLE;CODE POSTAL;VALEUR D'ACHAT PLEINE PROPRIETE (HORS FRAIS);VALEUR TRANSACTION (HORS FRAIS); M2 ESTIME;NB PIECES;TYPE BIEN;DATE TRANSACTION;ANNEE DE CONSTRUCTION;ANNEXES;INFORMATIONS
7; BD DAVOUT;PARIS 20;75020;696 961;420 000;86;3;APPARTEMENT;13/01/2021;23/05/1905;CAVE + BOX;8 ETAGE /12 + DECO DE QUALITE
27; BD DU MT FLEURY RESIDENCE LE GALLIA;CANNES;6400;632 828;370 000;85;3P;APPARTEMENT;18/01/2021;;;2 ETAGES+ 13 M2 DE TERRASSE
19; PARC DE MONTRETOUT;SAINT CLOUD;92210;2 400 671;2 020 000;240;8;MAISON;20/01/2021;;1108M2 DE TERRAIN;MAISON GARDIEN DE 45M2
2; BIS RUE DU MT VALERIEN;SAINT CLOUD;92210;1 466 813;750 000;156;6;MAISON;26/01/2021;13/01/1905;;ATELIER+VERANDA
7; SQUARE DE L'ALBONI;Rocquencourt;78150;501 729;286 400;94;4;APPARTEMENT;26/01/2021;;CAVE + PARKING;DERNIER ETAGE
73; CHEMIN D'AUSSONNE;BLAGNAC;31700;579 498;372 000;160;6;MAISON;29/01/2021;;;TERRAIN DE 1471M2+PISCINE
110; AV GEORGES CLEMENCEAU;SANARY S /MER;83110;535 531;327 000;75;3;APPARTEMENT;29/01/2021;24/06/1905;;VUE MER+ 210M2 DE TERRAIN
1;AV JUNOT;PARIS 18;75018;592 556;350 000;39;2;APPARTEMENT;04/02/2021;02/06/1905;CAVE + BOX;1 ER ETAGE+GARDIEN + REFAIT A NEUF
51; rue Froidevaux;PARIS 14;75014;940 361;590 000;95;4;APPARTEMENT;05/02/2021;;2 CAVES + BOX;BALCON 
11; RUE EUGENE FLACHAT;PARIS 17;75017;1 430 045;1 000 000;122;5;APPARTEMENT;09/02/2021;19/03/1905;CAVE + BOX;BALCON DE 7M2+ 2/3ETAGE
13; RUE DE LAMIGOTTE;ANGLET;64600;1 287 935;730 000;227;8;MAISON;10/02/2021;;;800M2 DE TERRAIN+PISCINE
1;PASSAGE ST FERDINAND;NEUILLY SUR SEINE;92200;1 516 487;1 265 000;143;5;APPARTEMENT;11/02/2021;23/05/1905;CAVE + PARKING;BALCON FILAN 20M2 + 5 ETAGE
